mora,atraso,vivienda,edad,dias_lab,exp_sf,nivel_ahorro,ingreso,linea_sf,deuda_sf,score,zona,clasif_sbs,nivel_educ
0,1,1,32,3626,3,12,940.79,1350.09,2835.34,175,15,0,2
0,25,1,26,4598,33,12,1434.7,6910.5,5500.23,171,7,1,2
0,0,1,29,4721,8,12,2600,1075.95,747.4,200,15,0,3
0,0,2,40,9988,3,0,3100,121543.4,0,204,2,4,3
0,0,2,46,5564,3,1,900,4742.45,1610.13,172,14,1,2
0,1,1,38,4233,3,12,1097.38,1200,4562.13,179,15,1,2
0,0,1,26,4598,8,12,2300,6406.02,158.24,187,15,0,3
0,0,1,31,4478,8,12,1300,1850,1471.32,176,15,0,3
0,0,1,24,4356,10,12,3500,121543.4,0,179,15,0,2
0,20,2,42,5301,3,12,2600,145.12,1316.08,207,15,2,2
0,0,1,29,4386,8,12,2100,863.39,89.83,200,15,0,3
0,1,1,34,3930,11,12,2066.59,1000,5356.8,196,11,0,2
0,0,2,35,4144,3,12,2168.83,1500,3874.39,213,13,0,2
0,23,1,36,4995,3,1,1200,1840,1218.6,165,15,1,3
0,9,2,38,5209,28,12,700,2595.06,1094.72,226,15,0,2
0,1,2,24,4052,3,12,1119.98,121543.4,945.36,175,15,0,2
0,27,2,37,3534,3,12,1700,121543.4,18711.03,194,6,0,2
0,0,1,32,5878,11,12,1950,1760,5.29,180,15,0,2
0,33,1,36,6243,38,12,900,2414.65,0,177,15,2,2
0,0,2,24,4382,3,12,1272.95,121543.4,4103.82,194,7,0,2
0,0,1,29,5056,14,1,1500,10485.64,502.97,165,15,0,3
0,2,1,25,4935,16,12,1053.18,2400,1200,169,7,0,2
0,21,1,23,3960,17,12,2100,2113.17,3.96,206,15,1,2
0,2,1,23,4539,3,12,2300,1573.6,0,181,15,0,3
0,1,2,24,3899,20,12,2100,2080,2426.15,228,15,2,3
0,0,1,28,4113,6,12,1400,2500,1810.82,185,15,0,3
0,0,1,29,4113,15,12,4200,186.22,1075.17,200,15,0,3
0,0,1,26,3483,3,12,703.53,121543.4,2495.79,167,15,0,2
0,0,1,24,4021,3,12,1200,121543.4,3789.55,156,15,0,2
0,1,2,39,3864,3,12,880,121543.4,197.03,215,15,0,2
0,0,2,32,6821,3,8,5000,242.23,9481.83,162,14,0,2
0,0,1,37,4174,3,12,3500,2924.86,0,202,15,0,3
0,0,1,21,3718,9,11,2100,2176.56,771.21,207,15,2,3
0,0,1,25,3347,3,12,2500,121543.4,0,186,12,0,2
0,0,1,41,4386,104,12,3350,14223.57,3459.13,190,13,1,2
0,0,0,29,4935,3,0,1860,121543.4,13201.17,167,13,0,2
0,2,1,44,4813,2,12,3476,121543.4,24592.29,205,2,4,3
0,3,1,25,5725,3,11,6000,520.73,0,205,14,1,2
0,0,1,29,3168,3,12,694.41,886.68,1556.01,194,15,1,2
0,2,1,21,3612,3,12,1504.31,121543.4,0,161,15,0,2
0,2,1,28,4367,3,12,1812.8,121543.4,7697.47,177,13,0,2
0,2,1,26,4818,3,12,964.62,121543.4,284.36,169,24,0,0
0,6,1,34,10108,33,1,5039,461.21,19539.22,206,20,1,2
0,0,1,32,6396,15,0,4500,14940.16,60.3,163,15,0,0
0,0,1,29,5301,24,0,3224.86,567.63,678.86,180,3,0,3
0,23,1,35,5847,3,12,1800,121543.4,3942.86,204,20,1,3
0,0,2,47,4570,3,12,3800,1790.97,1943.62,214,14,0,0
0,0,1,29,5360,3,12,3200,5889.34,0,216,15,1,3
0,0,1,30,3443,3,12,8239,121543.4,23303.9,185,6,0,2
0,0,1,36,4170,10,12,3150,1700,1637.81,197,15,4,3
0,1,1,28,6456,9,11,2200,1107.42,1175.88,209,15,0,3
0,1,1,55,3868,8,12,3686.3,8925,2764.72,211,15,2,2
0,1,1,26,4113,7,12,2278.38,1600,5458.23,206,15,0,3
0,0,2,32,4629,9,12,3000,2107.77,3735.74,230,18,0,2
0,1,1,32,4205,3,12,1000,460,3951.23,194,15,0,2
0,20,2,26,4721,38,12,2166.26,5338.84,0,191,15,1,2
0,0,1,24,3809,10,10,827.67,2800,1215.48,156,13,0,2
0,2,2,56,6762,3,12,2690,121543.4,0,228,12,0,2
0,0,1,25,4083,11,12,2100,1500,1415.81,189,7,0,3
0,0,1,41,5421,8,12,990,179.05,637.72,198,15,0,3
0,0,1,48,7492,92,0,4000,11652.79,4929.23,202,15,0,2
0,13,1,41,4113,3,12,1632.87,121543.4,1543.45,182,15,0,2
0,1,1,32,4300,9,12,964.17,2258.74,761.47,178,15,1,2
0,0,1,34,4263,3,12,968,121543.4,1241.07,170,8,0,2
0,0,2,29,5544,46,2,6814,18752.45,0,214,15,0,3
0,25,1,24,4721,41,12,2200,1423.15,552.96,200,15,2,2
0,0,1,24,4113,10,9,2100,410.12,408.67,176,14,0,3
0,0,1,26,3474,5,11,1495.09,121543.4,16688.92,174,13,0,2
0,1,1,31,4325,3,12,1000,121543.4,1365.2,194,7,0,2
0,0,2,43,6456,41,12,8750,5817.84,4955.85,224,12,0,3
0,25,1,32,7551,45,0,13000,730.92,0,199,15,0,3
0,0,1,25,3990,3,12,1424.68,121543.4,6462.92,171,4,0,2
0,0,1,31,3899,13,0,2100,1430.11,0,192,15,0,2
0,0,1,34,7704,8,8,1500,3754,355.82,188,14,1,3
0,9,1,42,6456,25,0,8000,10769.97,0,180,15,1,3
0,0,1,30,4386,7,12,2000,9065.38,5233.5,200,15,0,3
0,9,1,29,5760,3,12,1107.6,1650,3025.91,175,20,1,2
0,0,1,23,3734,3,12,1185.05,121543.4,4336.36,156,21,0,2
0,17,1,47,7551,3,3,3000,13988.17,0,217,15,1,3
0,9,1,40,4356,17,7,900,4845.56,0,207,14,0,3
0,19,2,29,4615,3,12,2301.9,121543.4,1886.48,212,13,1,3
0,0,2,27,4782,3,12,2097.4,121543.4,0,211,15,0,2
0,0,1,31,4083,3,12,908.5,2145.14,4168.6,175,15,0,2
0,1,2,26,4144,3,12,664.37,121543.4,1951.27,188,5,0,2
0,2,1,23,4448,3,12,1368.6,1727.25,5501.75,156,20,1,2
0,12,1,36,6090,30,12,2100,121543.4,9594.57,213,15,1,2
0,1,1,31,4598,3,12,1500,121543.4,10229.82,170,15,0,2
0,5,1,48,6059,3,12,1540,121543.4,57094.38,201,15,1,2
0,0,2,50,4052,3,12,1182.72,121543.4,1093.67,199,13,0,2
0,0,1,27,6456,8,12,2100,1717.06,432.86,187,15,0,3
0,0,1,28,3840,19,12,2100,1540,5656.79,205,15,0,2
0,0,1,38,4417,26,12,4500,866.76,0,197,15,0,3
0,1,1,28,4113,3,12,1450.38,3077.03,2007.64,175,7,3,2
0,0,1,43,6548,3,12,1542.03,121543.4,9633.36,197,12,0,2
0,0,1,42,10931,39,0,3300,19.5,53.01,199,19,0,3
0,0,2,47,4935,3,2,7586.26,121543.4,0,199,14,0,3
0,1,1,40,7186,3,12,3290.22,4343.23,1739.58,197,7,1,2
0,0,1,32,3584,14,12,2500,4942.55,7568.56,200,14,1,3
0,2,1,29,3559,3,11,2800,3667.1,1810.3,200,15,1,3
0,0,1,23,3899,10,12,2100,1100,1049.98,181,8,0,3
0,0,1,34,4690,35,12,1500,1084.9,2382.04,206,15,0,3
0,0,1,24,4478,9,12,3000,1654.49,704.89,176,15,1,3
0,0,1,26,4539,12,12,668.46,1990,1397.76,169,7,3,2
0,1,2,26,4011,51,12,861.67,1906.63,2272.1,196,15,1,3
0,0,2,35,4319,3,12,834.25,121543.4,3606.77,196,11,0,2
0,0,1,21,3626,15,12,850,2600,5189.55,192,15,2,3
0,0,1,28,3595,71,6,3544.79,8400,12981.97,194,14,0,3
0,0,1,48,4509,81,4,6600,5415.88,0,175,15,0,3
0,0,1,24,4570,3,12,1084.18,121543.4,4420.64,182,11,0,2
0,0,1,42,4417,13,11,2850,1433.22,438.09,205,15,0,3
0,0,1,43,3868,3,12,2400,12936.95,4107.47,223,15,1,2
0,0,2,49,6456,44,3,30000,121543.4,0,203,15,0,1
0,1,1,28,3650,3,12,1378.3,121543.4,3415.59,172,7,0,3
0,2,1,49,3707,3,12,3152.38,121543.4,3762.38,185,15,0,2
0,0,1,34,3290,3,12,1682.62,121543.4,3513.41,201,7,0,2
0,0,1,43,6059,21,12,3070,2659.3,3709.71,190,15,0,2
0,0,1,33,4675,3,12,2030.99,700,12051.69,177,7,0,2
0,1,1,27,4172,3,12,1032.6,4295.86,127,175,15,0,2
0,0,1,21,3626,3,12,2100,121543.4,6294.66,190,15,0,3
0,9,1,29,4721,29,4,1800,6184.6,896.17,188,15,2,3
0,2,2,38,4534,3,12,2200,1000,2191.17,211,10,0,0
0,0,1,28,4386,3,12,3800,5404.23,3314.83,219,15,2,3
0,0,2,33,5240,12,12,5600,36200,16382.84,219,15,2,3
0,2,2,23,4904,3,12,800,121543.4,2280.88,211,15,0,2
0,0,2,44,6456,3,12,2100,121543.4,0,168,15,0,2
0,0,2,31,3717,6,12,900,121543.4,2090.34,194,15,0,2
0,0,1,49,8343,3,0,2000,2104.39,1189.17,185,15,0,3
0,0,2,39,3868,3,12,1148.31,121543.4,1279.78,196,12,0,2
0,0,1,29,4629,24,12,1604.5,2199,0,180,15,0,2
0,0,1,24,3991,3,12,1511.16,121543.4,7953.25,151,19,0,0
0,2,1,25,4995,3,12,1266.15,121543.4,4947.87,156,15,0,2
0,0,1,32,4598,3,12,950,979.17,3876.3,175,11,0,2
0,1,2,22,4136,3,12,967.18,1840,0,175,15,0,2
0,2,1,36,7492,3,12,1200,121543.4,1862.32,170,15,0,2
0,0,1,28,4492,3,12,801.49,121543.4,951.03,175,15,0,2
0,0,1,40,5847,22,0,750,547.47,0,203,7,0,2
0,2,2,32,6335,3,12,1980,121543.4,12203.76,199,13,0,2
0,0,1,27,4570,13,12,1400,765.88,2523.65,174,15,0,3
0,0,1,27,5506,31,12,736.93,2238.58,0,169,15,0,2
0,13,1,50,5635,3,0,1160,121543.4,0,186,15,1,3
0,0,1,40,4782,93,12,2500,8262,5134.2,197,15,0,3
0,2,2,45,4448,3,12,2100,4450,18010.11,229,20,0,3
0,0,1,49,10108,8,12,4400,207.96,1398.16,195,15,0,3
0,0,1,25,4083,3,12,1524.72,3690,5796.72,184,15,0,0
0,2,1,31,5117,3,12,1300,1900,4454.31,175,15,1,2
0,1,1,31,4843,10,12,1350,121543.4,1770.29,175,15,0,2
0,2,2,41,4660,3,12,1200,121543.4,2103.24,199,13,4,2
0,32,1,32,6548,66,12,1680,2544.2,0,209,15,2,3
0,0,2,40,4570,61,12,2900,5172.05,1685.48,216,7,0,3
0,2,2,32,4509,3,12,1324.67,121543.4,2609.61,196,9,0,2
0,0,2,24,4570,44,12,5050,12510.24,390.01,209,15,0,2
0,33,2,40,9439,80,0,19500,19729.88,3055.31,230,15,2,3
0,0,2,44,9378,3,0,2000,2698.28,10326.06,204,15,0,3
0,0,1,28,4813,14,12,1800,2911.91,0,202,15,0,3
0,9,1,25,5148,23,4,2500,2681.32,260.23,206,15,0,3
0,0,1,29,4690,14,12,5600,251.77,340.72,214,12,0,3
0,0,1,35,4598,3,12,1400,121543.4,7833.49,199,6,0,2
0,0,1,29,4964,48,12,6989.4,16399.64,0,193,15,1,3
0,9,1,27,3899,19,12,2224.3,14100.17,4005.58,200,7,2,3
0,0,1,31,5087,15,12,3100,515.88,196.58,201,21,0,3
0,2,1,51,4539,3,12,1200,2850,1042.89,188,15,1,3
0,0,2,52,4629,3,12,2800,3191.15,0,214,15,0,2
0,0,1,38,4264,9,7,1350,5505.04,389.15,185,15,0,3
0,0,2,41,5605,36,12,1787,7780.68,2560.06,204,15,0,2
0,0,2,33,6000,79,12,5200,3084.13,1078.39,225,15,0,3
0,0,1,40,6456,3,12,2100,2327.28,0,216,15,1,2
0,0,1,36,7431,3,12,2500,121543.4,7574.82,187,2,0,2
0,8,1,37,3868,11,10,10500,86975.05,7484.61,216,15,1,3
0,0,1,60,5301,78,0,857.36,745.6,0,172,4,1,3
0,0,1,29,4233,3,12,1550,4148.18,0,177,15,0,2
0,18,1,37,4598,13,0,3200,14175.49,1907.22,196,15,1,3
0,0,2,29,4264,3,12,1362.9,121543.4,434.6,196,11,3,2
0,0,1,37,3991,3,12,3249.43,121543.4,7328.63,182,15,0,2
0,2,1,33,4086,3,12,2152,14018.38,6511.45,192,25,1,2
0,0,1,27,3352,12,12,1207.65,121543.4,6508.35,169,15,0,2
0,0,0,34,3764,53,1,7055,30053.51,57094.38,175,15,1,2
0,0,1,38,4386,3,12,1182.36,2180.72,1733.79,177,7,3,2
0,0,1,28,6456,3,12,1500,6365.69,6276.19,177,15,1,2
0,0,2,23,3534,3,12,1017.03,750,579.23,173,7,0,2
0,0,1,23,3846,3,12,944.29,5598.05,258.87,156,7,0,2
0,8,1,29,4570,57,2,2111,7442.55,206.86,207,15,1,3
0,0,1,24,3840,3,12,2506.18,121543.4,3419.02,181,15,0,3
0,0,2,46,6456,87,12,13500,19479.76,7942.84,228,15,4,2
0,32,2,32,4782,14,12,1200,121543.4,0,194,12,2,2
0,0,1,23,3687,3,12,1244.27,692.36,1302.18,156,15,1,2
0,2,2,23,3840,11,12,2245.74,5104.86,18475.97,204,10,0,2
0,0,2,25,4436,3,12,1270.43,1200,2526.82,188,15,0,2
0,2,2,52,5482,3,12,2974.96,121543.4,1984.65,199,25,0,2
0,0,1,34,8039,20,12,2200,276.36,23.5,216,15,0,3
0,2,1,29,5513,3,12,3000,121543.4,2593.17,200,15,0,3
0,0,1,27,4904,21,12,2250,149.33,0,198,15,0,2
0,1,2,38,3779,3,12,2800,121543.4,14918.71,213,11,0,2
0,2,1,22,4417,20,12,2917.91,121543.4,0,177,15,0,2
0,0,2,41,5666,17,12,840,570.66,0,197,7,0,2
0,0,1,27,5817,28,0,2300,951.5,334.09,193,15,0,3
0,0,1,33,5056,64,0,2951,17380.46,2221.35,200,20,1,3
0,0,1,53,6243,7,7,3000,1500,1255.49,205,15,0,3
0,0,1,53,10870,3,4,4176.74,121543.4,5814.14,178,5,0,3
0,0,2,31,5909,1,12,3500,10979.62,57094.38,211,15,1,2
0,0,1,38,4509,8,12,2639.35,5800,5.59,202,15,1,3
0,0,1,31,7461,11,12,7126.84,1000,205.25,192,7,0,0
0,0,1,37,5240,69,0,3000,5880.23,2436.61,201,15,0,3
0,0,1,44,7520,8,12,1210,5768,2331.1,181,15,0,3
0,0,1,55,4264,3,12,3000,121543.4,4716.75,197,7,0,2
0,1,1,25,4445,3,12,1403.77,121543.4,9554.04,169,15,0,2
0,2,1,32,4843,3,12,961.34,900,2108.34,175,15,1,2
0,0,2,52,4492,3,12,990.13,121543.4,3800.62,192,15,0,2
0,0,1,32,5878,81,12,9000,4596.04,2980.08,225,15,0,3
0,0,2,54,7186,3,12,1800,121543.4,3301.49,202,15,0,0
0,25,1,31,4325,13,12,1698.2,2285,0,180,15,1,3
0,22,1,41,8588,3,12,3500,960.44,9292.34,175,15,1,3
0,0,1,24,4690,8,12,900,1500,254.32,164,15,0,3
0,0,1,33,5179,3,12,1650,121543.4,0,180,15,0,2
0,0,2,40,4721,29,12,2700,6795.9,2121.91,214,15,1,0
0,2,1,47,4264,3,12,3500,17100,9741.64,180,14,0,3
0,50,1,23,4904,47,12,710,500,484.3,154,15,4,2
0,0,1,31,6425,68,12,6600,14638.48,2426.45,219,15,3,3
0,0,2,49,8404,9,10,2000,16842.18,3229.93,235,15,0,2
0,0,1,37,6943,3,12,1000,606.2,914.72,179,20,0,2
0,0,1,34,4264,58,12,700,17672,109.09,177,15,1,3
0,0,1,26,5482,3,12,2900,1057.88,418.81,201,15,4,3
0,2,1,40,5970,47,12,3680,1210.8,866.89,204,15,1,2
0,0,1,36,7096,9,0,4750,67853.78,1732.59,202,15,0,3
0,9,1,48,6456,48,12,30000,66510.12,22844.04,197,15,0,1
0,0,1,30,5513,3,12,3100,3463.73,0,185,14,1,3
0,0,1,34,5176,3,12,829.09,4467.68,567.14,196,15,0,2
0,0,2,30,4417,7,12,3000,1131.53,1865.25,214,11,0,3
0,2,1,30,3779,8,12,4000,3995,3664.5,200,7,1,3
0,0,1,30,5574,3,1,2984.62,4668.14,2719.79,196,15,0,3
0,0,1,29,7308,78,11,3500,1800,0,211,15,1,2
0,17,1,49,5026,3,8,2600,29864.68,0,197,15,1,2
0,0,1,31,4325,16,12,1789.14,2280,598.58,192,15,0,2
0,0,1,34,8374,88,11,29393.13,121543.4,0,190,15,0,3
0,0,1,26,5087,3,12,2270,121543.4,0,186,15,0,2
0,0,1,52,5605,3,12,888.44,121543.4,3444.88,173,15,0,2
0,1,1,29,3565,3,12,1200,1804.83,2389.82,190,13,0,3
0,27,1,33,5360,22,12,6620,7231.35,1466.23,200,15,1,3
0,0,1,41,7643,13,12,6205,260,0,205,15,0,3
0,22,1,32,5300,40,11,2555,13406.8,106.25,175,14,1,3
0,0,2,33,5939,3,12,2683.55,280.12,2073.88,209,15,1,2
0,0,1,31,4021,12,12,2000,8804.02,0,188,15,0,3
0,0,2,44,5209,26,0,21000,22638.17,280.45,224,15,0,3
0,20,2,29,3712,10,12,974.73,900,1435.47,194,12,0,2
0,2,1,45,5539,3,12,2843.67,3519.86,6017.92,197,6,1,2
0,0,1,26,5725,28,12,7000,11735,187.03,184,15,0,2
0,2,1,37,6821,32,12,1650,600,544.72,182,6,0,2
0,0,1,29,4295,12,11,800,121543.4,0,173,15,0,2
0,0,1,41,4874,27,12,2500,6151.97,0,216,15,1,2
0,0,1,35,7127,30,12,2200,4834.49,1889.38,210,15,1,3
0,1,1,30,3687,3,12,2319.21,3340,12878.26,190,15,3,2
0,0,1,28,4721,3,12,2000,121543.4,4160.93,207,22,0,3
0,3,1,38,4386,48,10,7000,22184.27,0,216,15,0,3
0,38,1,36,5360,66,3,3050,121543.4,120.69,195,11,2,3
0,0,2,30,4570,11,12,2750,2707.1,3109.59,219,13,0,3
0,25,1,21,4144,16,12,2100,1735,480.38,195,11,1,3
0,0,2,30,3581,3,12,2690.91,1056,14147.63,211,11,0,2
0,0,2,53,6425,18,12,2500,4290,1446.97,216,15,0,2
0,2,1,37,5694,4,12,1390,9305.18,2729.88,177,13,0,2
0,8,1,29,3565,18,0,6710,24248.45,0,174,15,0,1
0,0,2,63,8282,86,6,9180,103670.06,29137.51,213,15,1,3
0,0,1,46,4448,3,12,5500,121543.4,0,219,15,0,3
0,0,2,43,4893,11,12,2278.74,121543.4,17260.53,204,12,0,2
0,0,1,21,3626,3,12,900,720,602.64,156,15,0,2
0,23,1,27,5329,61,12,2450,2250,5274.35,205,15,4,2
0,2,1,32,4690,3,12,894.65,121543.4,1518.81,175,15,0,2
0,1,1,28,5209,3,1,1900,2429,4882.17,161,14,1,3
0,0,2,40,4083,119,12,5200,30770,4627.65,224,15,2,3
0,2,1,35,6425,40,12,3200,983.76,9011.3,187,2,0,2
0,5,1,28,3595,76,0,3500,4843.53,37.61,175,12,0,3
0,0,1,29,5666,22,12,1131.17,121543.4,475.69,186,20,0,2
0,1,1,32,4083,3,12,1874.7,8445,5747.96,188,13,0,3
0,0,1,26,4448,3,12,2000,121543.4,2124.88,174,11,0,2
0,0,1,22,4205,19,12,2100,1000,4814.01,190,11,0,3
0,0,1,52,6456,96,10,13500,14334.66,16037.38,205,15,0,3
0,0,1,24,4144,23,12,2500,2400,16676.98,181,16,0,3
0,0,1,30,5270,12,12,3000,1104.98,583.48,219,15,0,3
0,4,1,39,5360,3,11,2800,121543.4,57094.38,194,5,0,3
0,0,1,29,6090,14,12,3000,2357.89,0,194,20,1,3
0,0,1,42,5725,87,0,6000,12820.12,646.47,180,15,0,3
0,0,1,30,5360,45,12,1800,2268,1327.96,192,7,4,2
0,0,1,28,4478,10,12,2000,3323.16,626.54,193,15,1,3
0,2,2,24,4606,3,12,1790.24,121543.4,3260.1,175,11,0,2
0,24,1,29,4052,28,12,2100,7700,5387.88,233,15,0,3
0,0,1,38,6365,3,12,1500,897.02,3119.33,177,15,0,2
0,29,1,33,5544,40,12,3500,30287.39,47584.35,207,11,1,3
0,0,1,29,5209,22,12,2856,2412.7,716.17,204,15,0,2
0,0,2,32,4410,3,12,2117.29,121543.4,16776.77,211,11,0,2
0,0,2,34,5056,17,0,5400,12080.22,0,246,15,0,3
0,0,1,26,4848,3,12,1522.87,1700,3573.02,188,15,0,2
0,25,2,42,3463,22,11,2032.17,3000,4068.19,204,21,1,2
0,0,1,27,5026,50,12,1189.13,13984.88,1286.45,190,7,0,2
0,0,2,37,4417,3,12,700,121543.4,3779.23,194,20,0,0
0,0,2,33,3950,30,3,1161,3555,469.99,221,14,1,3
0,0,1,43,4874,15,12,2500,913.11,637.46,197,7,0,2
0,3,1,55,5574,55,12,2500,4818.07,7750.85,211,15,0,2
0,0,2,41,9684,44,7,9520,14218.41,0,224,15,0,3
0,0,2,30,5056,21,12,2208,756,1043.14,211,15,1,2
0,2,1,44,13183,37,12,1451,1245.06,2269.58,188,15,0,3
0,0,0,38,5117,40,12,6935,9043.89,3668.67,177,13,1,3
0,2,2,35,7186,3,10,1400,9366.44,7129.56,191,13,1,2
0,0,1,25,4660,26,12,1200,1800,403.91,188,15,0,2
0,0,2,30,6059,3,12,4061,29254.29,0,223,15,2,2
0,2,1,29,5148,3,12,866.39,1885,4191.06,183,14,2,3
0,0,1,65,6090,3,12,2100,121543.4,0,230,13,0,1
0,9,1,31,4113,15,1,5500,7773.53,0,214,15,1,3
0,0,2,43,6335,3,0,123.7,16800,1577.99,172,13,0,0
0,0,2,60,5666,19,12,3200,121543.4,0,230,7,0,2
0,2,2,40,5087,3,12,1500,121543.4,385.85,194,13,0,2
0,0,1,37,5666,22,12,1600,3371.61,0,190,4,1,3
0,0,2,29,3840,16,12,2300,5070,1852.24,211,12,0,2
0,2,1,32,5360,3,12,1300,121543.4,1638.17,175,15,0,2
0,31,1,32,3626,3,12,1500,6820.75,885.84,185,4,2,3
0,0,1,37,6456,10,10,2100,9050,3283.83,213,15,0,2
0,2,1,27,6670,63,12,4389,5307.75,0,186,11,3,2
0,23,1,46,5786,65,12,3700,8164.4,778.02,205,15,4,3
0,2,1,32,4873,3,12,2000.74,19244.14,4245.13,180,15,0,2
0,0,2,38,6609,3,12,1100,121543.4,6386.31,196,11,0,2
0,0,2,30,4448,3,10,4500,4189.41,0,219,15,1,3
0,0,2,28,4233,20,12,2600,7395,230.5,206,13,0,3
0,0,1,27,3589,3,12,7230.88,121543.4,22391.02,186,4,0,2
0,11,1,32,4052,3,3,6800,15134.6,0,200,15,1,3
0,0,1,30,4264,32,12,1916.59,3840.45,6021.31,200,15,2,3
0,0,1,23,5148,46,12,2800,6319.67,7910.63,209,25,0,3
0,0,1,34,4721,3,12,2800,13026.16,5478.88,194,7,1,2
0,4,1,29,4843,3,12,1600,2500,1196.11,180,15,0,2
0,0,2,49,3717,3,12,1010.42,4487.62,1216.77,199,15,0,2
0,0,1,29,4751,22,12,5384,868.6,2000,192,6,0,2
0,8,1,29,4874,54,12,2100,10991.84,0,214,15,0,3
0,32,1,32,6304,3,0,4000,10290.7,57094.38,194,15,1,3
0,2,2,34,6425,13,12,1113.58,121543.4,2922.89,206,15,0,0
0,0,1,49,5360,3,12,2184.26,3250,1172.95,235,15,0,2
0,2,2,32,4002,3,12,482.96,1915.74,0,207,12,1,3
0,55,1,27,4598,31,12,5000,47.4,64.59,203,15,0,2
0,0,1,35,8192,3,12,9052.8,121543.4,0,194,11,1,2
0,2,2,51,9012,89,0,6500,999.5,9302.35,224,12,0,3
0,0,1,26,5421,11,12,2425.95,189.28,140.69,199,15,0,3
0,2,2,29,6031,3,12,1800,3805.45,0,199,13,2,2
0,24,1,28,3779,23,3,3885,20289.07,1194.38,174,13,0,3
0,2,1,41,5046,3,12,2497.3,11850.94,1012.62,180,15,0,2
0,24,1,39,4255,12,12,769.27,2580.65,4431.6,197,15,0,3
0,0,2,52,12726,86,4,2100,30481.64,20.88,224,7,0,3
0,0,1,25,4233,3,7,3000,121543.4,0,206,15,0,3
0,0,1,32,3635,5,12,1124.85,1600,1728.57,194,15,0,2
0,24,1,63,5605,3,12,1500,18628.1,0,196,15,1,2
0,0,2,41,4175,3,12,1800,121543.4,2257.18,205,8,0,3
0,0,1,33,8922,86,12,7195.55,29252.26,310.55,196,7,0,3
0,0,1,22,4570,34,11,800,3917.57,0,178,15,0,3
0,23,1,28,4113,37,12,800,10690.79,65.81,173,15,1,0
0,28,1,23,3809,3,12,2800,121543.4,2049.88,190,15,1,3
0,0,2,26,4629,10,12,1141.88,1470,1097.1,196,15,0,3
0,0,1,25,3895,7,12,915.4,1700,4317.68,188,20,0,2
0,0,1,30,5544,27,0,4080,1935.07,0,199,8,0,3
0,0,1,58,12484,91,3,3749,1710.15,2479.23,199,15,0,3
0,0,1,26,4660,9,12,7528,121543.4,25.6,194,6,0,3
0,0,1,46,3461,3,6,8300,121543.4,0,212,15,0,3
0,0,1,32,6456,20,12,2100,537.42,179.19,172,13,0,2
0,0,1,27,4964,40,12,3550,2680,0,208,11,0,3
0,1,1,30,4264,3,12,7185.04,121543.4,4577.83,200,10,0,3
0,0,1,59,11965,3,12,1100,121543.4,159.16,192,15,0,2
0,2,1,47,6031,3,7,14000,37182,0,200,15,0,3
0,21,1,29,5270,54,12,2000,4022.5,0,187,14,1,3
0,0,1,25,4417,22,12,6450,3900,12732.09,194,2,0,3
0,1,1,36,4570,3,12,595.94,5001.33,1445.01,177,15,0,2
0,3,1,46,5878,3,9,6600,11515,19938.39,219,15,2,3
